Number,X,Y,Al,Ti,Cr,Fe,Co,Ni,Cu,Zr,Mo,W,Mn,Si,Mg,Resistance,Thickness,Resistivity,Ex_resistivity,ravg,delta,dHmix,ENavg,dEN,N,Compo
52458,33,-25,30.64573,0,0,0,53.76481,0,0,0,15.58946,0,0,0,0,0.554,713.8272,179.1435018,174.1439886,0.132231072,0.061376265,-15.15405954,1.840907017,0.181754264,3,Al/Co/Mo
52459,33,-23,30.16135,0,0,0,53.80801,0,0,0,16.03064,0,0,0,0,0.562,696.829,177.4029078,172.389976,0.132192413,0.061171051,-15.02637405,1.843450147,0.182262871,3,Al/Co/Mo
52460,33,-21,29.6821,0,0,0,53.83921,0,0,0,16.47869,0,0,0,0,0.57,679.2524,175.3897622,170.3636578,0.132155434,0.060963148,-14.89790575,1.845998662,0.182760644,3,Al/Co/Mo
52461,33,-19,29.20798,0,0,0,53.85842,0,0,0,16.93361,0,0,0,0,0.578,663.1,173.6221254,168.5830937,0.132120146,0.060752713,-14.76875502,1.84855275,0.183247446,3,Al/Co/Mo
52462,33,-17,28.739,0,0,0,53.86562,0,0,0,17.39538,0,0,0,0,0.583,652,172.192548,167.1408365,0.132086512,0.060539919,-14.63901231,1.851111764,0.183723103,3,Al/Co/Mo
52463,33,-15,28.27515,0,0,0,53.86083,0,0,0,17.86403,0,0,0,0,0.589,634.4,169.2687048,164.2045583,0.132054583,0.060324895,-14.50877438,1.853676567,0.184187543,3,Al/Co/Mo
52464,33,-13,27.81643,0,0,0,53.84403,0,0,0,18.33953,0,0,0,0,0.594,616.8,165.9697776,160.8934438,0.132024293,0.060107808,-14.37811897,1.856246135,0.184640547,3,Al/Co/Mo
52465,33,-11,27.36285,0,0,0,53.81525,0,0,0,18.82191,0,0,0,0,0.599,599.2,162.5911224,157.5028453,0.131995736,0.05988877,-14.24714725,1.858821841,0.18508207,3,Al/Co/Mo
52466,33,-9,26.9144,0,0,0,53.77446,0,0,0,19.31114,0,0,0,0,0.604,586.8,160.5555216,155.4555488,0.131968817,0.059667941,-14.11592342,1.861402312,0.185511879,3,Al/Co/Mo
52467,33,-7,26.47109,0,0,0,53.72167,0,0,0,19.80724,0,0,0,0,0.607,578.3,159.0157293,153.9043066,0.131943593,0.059445433,-13.98453531,1.863988329,0.185929899,3,Al/Co/Mo
52468,33,-5,26.0329,0,0,0,53.65689,0,0,0,20.31021,0,0,0,0,0.611,568.5,157.3511355,152.2285085,0.131920045,0.059221366,-13.85305057,1.866579758,0.186335949,3,Al/Co/Mo
52469,33,-3,25.59986,0,0,0,53.58011,0,0,0,20.82004,0,0,0,0,0.614,558.7,155.3979354,150.2643501,0.131898192,0.058995861,-13.72154948,1.869176678,0.186729914,3,Al/Co/Mo
52470,33,-1,25.17194,0,0,0,53.49133,0,0,0,21.33673,0,0,0,0,0.616,548.9,153.1694472,148.0251504,0.13187799,0.058769028,-13.59008608,1.871778606,0.187111596,3,Al/Co/Mo
52471,33,1,24.75396,0,0,0,53.3189,0,0,0,21.92714,0,0,0,0,0.618,544.8,152.5189392,147.3649506,0.131867698,0.058529276,-13.45471884,1.8745603,0.187635083,3,Al/Co/Mo
52472,33,3,24.34206,0,0,0,53.07182,0,0,0,22.58612,0,0,0,0,0.619,546.4,153.2143848,148.0515398,0.131866044,0.058276715,-13.31522681,1.877517574,0.188272986,3,Al/Co/Mo
52473,33,5,23.97997,0,0,0,52.71795,0,0,0,23.30209,0,0,0,0,0.62,548,153.91128,148.7418791,0.131879637,0.058026716,-13.1821726,1.880500121,0.189076669,3,Al/Co/Mo
52474,33,7,23.61913,0,0,0,52.35889,0,0,0,24.02198,0,0,0,0,0.62,549.6,154.360656,149.1847806,0.131893861,0.057775148,-13.04898782,1.883489893,0.189840456,3,Al/Co/Mo
52475,33,9,23.25955,0,0,0,51.99464,0,0,0,24.7458,0,0,0,0,0.622,548.9,154.6613574,149.4790881,0.131908745,0.057521963,-12.91567693,1.886487267,0.190564509,3,Al/Co/Mo
52476,33,11,22.90123,0,0,0,51.62521,0,0,0,25.47356,0,0,0,0,0.621,545.9,153.5687667,148.3801829,0.131924313,0.057267112,-12.78224162,1.889492647,0.191248941,3,Al/Co/Mo
52477,33,13,22.54416,0,0,0,51.25059,0,0,0,26.20525,0,0,0,0,0.622,542.9,152.9707614,147.775944,0.131940526,0.057010556,-12.64867115,1.892505468,0.191893778,3,Al/Co/Mo
52478,33,15,22.18835,0,0,0,50.87078,0,0,0,26.94087,0,0,0,0,0.622,539.9,152.1254634,146.924493,0.131957399,0.056752249,-12.51496695,1.895525891,0.19249908,3,Al/Co/Mo
52479,33,17,21.83379,0,0,0,50.48578,0,0,0,27.68043,0,0,0,0,0.624,536.9,151.7665968,146.5595537,0.13197493,0.056492135,-12.38112257,1.898553971,0.19306486,3,Al/Co/Mo
52480,33,19,21.48049,0,0,0,50.09559,0,0,0,28.42392,0,0,0,0,0.624,533.9,150.9185808,145.7055457,0.131993119,0.056230167,-12.24713698,1.901589653,0.193591109,3,Al/Co/Mo
52481,33,21,21.12845,0,0,0,49.70022,0,0,0,29.17134,0,0,0,0,0.626,530.9,150.5515602,145.332613,0.132011981,0.055966288,-12.11300789,1.904633125,0.194077791,3,Al/Co/Mo
52482,33,23,20.77766,0,0,0,49.29966,0,0,0,29.92269,0,0,0,0,0.628,527.9,150.1791036,144.9543252,0.132031487,0.055700444,-11.9787238,1.907684038,0.194524825,3,Al/Co/Mo
52483,33,25,20.42812,0,0,0,48.89391,0,0,0,30.67797,0,0,0,0,0.631,524.9,150.0389907,144.8084619,0.132051638,0.055432576,-11.84427934,1.910742392,0.194932125,3,Al/Co/Mo
52484,33,27,20.07984,0,0,0,48.48297,0,0,0,31.43719,0,0,0,0,0.634,521.9,149.8907238,144.6545248,0.132072462,0.055162615,-11.7096743,1.913808564,0.195299619,3,Al/Co/Mo
52485,35,-23,30.61157,0,0,0,53.37258,0,0,0,16.01585,0,0,0,0,0.563,702.7389,179.2258263,174.2289243,0.132271826,0.061270754,-15.10717546,1.842193141,0.182874007,3,Al/Co/Mo
52486,35,-21,30.12847,0,0,0,53.41278,0,0,0,16.45875,0,0,0,0,0.571,684.3909,177.0266034,172.0163442,0.132233587,0.061066612,-14.98023368,1.844737631,0.183368154,3,Al/Co/Mo
52487,35,-19,29.65051,0,0,0,53.44098,0,0,0,16.90851,0,0,0,0,0.579,666.2,174.7355994,169.7122293,0.132197028,0.06085976,-14.85250415,1.847287451,0.183851524,3,Al/Co/Mo
52488,35,-17,29.17767,0,0,0,53.45718,0,0,0,17.36514,0,0,0,0,0.587,648.6,172.4698746,167.4336398,0.132162134,0.060650354,-14.72407675,1.849842495,0.184323974,3,Al/Co/Mo
52489,35,-15,28.70998,0,0,0,53.46139,0,0,0,17.82864,0,0,0,0,0.593,631,169.504899,164.4560444,0.132128959,0.060438542,-14.59506087,1.852403434,0.184785412,3,Al/Co/Mo
52490,35,-13,28.24741,0,0,0,53.45359,0,0,0,18.299,0,0,0,0,0.599,613.4,166.4442498,161.3830228,0.132097424,0.060224487,-14.46552679,1.854969193,0.185235625,3,Al/Co/Mo
52491,35,-11,27.78998,0,0,0,53.4338,0,0,0,18.77622,0,0,0,0,0.605,595.8,163.287927,158.2145733,0.132067581,0.060008323,-14.3355753,1.85754047,0.185674504,3,Al/Co/Mo
52492,35,-9,27.33768,0,0,0,53.40201,0,0,0,19.26031,0,0,0,0,0.609,582.1,160.5880017,155.5027672,0.132039417,0.059790185,-14.20528458,1.860117132,0.186101916,3,Al/Co/Mo
52493,35,-7,26.89051,0,0,0,53.35823,0,0,0,19.75126,0,0,0,0,0.615,572.3,159.4399185,154.3430491,0.13201293,0.059570206,-14.07473559,1.862699151,0.186517694,3,Al/Co/Mo
52494,35,-5,26.44848,0,0,0,53.30244,0,0,0,20.24908,0,0,0,0,0.619,562.5,157.7289375,152.6206797,0.131988125,0.059348511,-13.94400626,1.865286528,0.186921733,3,Al/Co/Mo
52495,35,-3,26.01158,0,0,0,53.23466,0,0,0,20.75376,0,0,0,0,0.623,552.7,155.9824413,150.8630409,0.131964998,0.059125218,-13.81316878,1.867879262,0.187313847,3,Al/Co/Mo
52496,35,-1,25.57982,0,0,0,53.15488,0,0,0,21.2653,0,0,0,0,0.626,542.9,153.9544962,148.8241994,0.131943551,0.058900443,-13.68229523,1.870477326,0.187693907,3,Al/Co/Mo
52497,35,1,25.16792,0,0,0,52.9078,0,0,0,21.92429,0,0,0,0,0.629,538.8,153.5240556,148.3849019,0.13194191,0.058649897,-13.54351197,1.873434816,0.188395735,3,Al/Co/Mo
52498,35,3,24.75601,0,0,0,52.66072,0,0,0,22.58327,0,0,0,0,0.63,540.4,154.224756,149.0767462,0.131940242,0.058398265,-13.4045326,1.876391929,0.189048663,3,Al/Co/Mo
52499,35,5,24.34411,0,0,0,52.41364,0,0,0,23.24225,0,0,0,0,0.632,542,155.172432,150.0155658,0.131938587,0.058145529,-13.2653676,1.879349203,0.189653254,3,Al/Co/Mo
52500,35,7,23.98328,0,0,0,52.05458,0,0,0,23.96214,0,0,0,0,0.633,543.6,155.8767564,150.7134154,0.131952826,0.057893841,-13.13220041,1.882339136,0.190432816,3,Al/Co/Mo
